field,types,records_with_field,field_coverage_pct,matched_field_coverage_pct,records_with_value,value_coverage_pct,matched_value_coverage_pct,returned_record_count,submitted_domain_count,occurrences
employee_count_by_month.2017-09,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
employee_count_by_month.2017-10,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
employee_count_by_month.2017-11,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
employee_count_by_month.2017-12,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
employee_count_by_month.2018-01,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
employee_count_by_month.2018-02,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
employee_count_by_month.2018-03,integer,82,23.5,39.05,82,23.5,39.05,210,349,82
employee_count_by_month.2018-04,integer,82,23.5,39.05,82,23.5,39.05,210,349,82
employee_count_by_month.2018-05,integer,82,23.5,39.05,82,23.5,39.05,210,349,82
employee_count_by_month.2018-06,integer,82,23.5,39.05,82,23.5,39.05,210,349,82
employee_count_by_month.2018-07,integer,82,23.5,39.05,82,23.5,39.05,210,349,82
employee_count_by_month.2018-08,integer,82,23.5,39.05,82,23.5,39.05,210,349,82
employee_count_by_month.2018-09,integer,83,23.78,39.52,83,23.78,39.52,210,349,83
employee_count_by_month.2018-10,integer,83,23.78,39.52,83,23.78,39.52,210,349,83
employee_count_by_month.2018-11,integer,84,24.07,40,84,24.07,40,210,349,84
employee_count_by_month.2018-12,integer,84,24.07,40,84,24.07,40,210,349,84
employee_count_by_month.2019-01,integer,84,24.07,40,84,24.07,40,210,349,84
employee_count_by_month.2019-02,integer,85,24.36,40.48,85,24.36,40.48,210,349,85
employee_count_by_month.2019-03,integer,85,24.36,40.48,85,24.36,40.48,210,349,85
employee_count_by_month.2019-04,integer,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count_by_month.2019-05,integer,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count_by_month.2019-06,integer,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count_by_month.2019-07,integer,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count_by_month.2019-08,integer,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count_by_month.2019-09,integer,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count_by_month.2019-10,integer,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count_by_month.2019-11,integer,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count_by_month.2019-12,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-01,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-02,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-03,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-04,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-05,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-06,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-07,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-08,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-09,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-10,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-11,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2020-12,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2021-01,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2021-02,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2021-03,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2021-04,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2021-05,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2021-06,integer,87,24.93,41.43,87,24.93,41.43,210,349,87
employee_count_by_month.2021-07,integer,88,25.21,41.9,88,25.21,41.9,210,349,88
employee_count_by_month.2021-08,integer,88,25.21,41.9,88,25.21,41.9,210,349,88
employee_count_by_month.2021-09,integer,88,25.21,41.9,88,25.21,41.9,210,349,88
employee_count_by_month.2021-10,integer,88,25.21,41.9,88,25.21,41.9,210,349,88
employee_count_by_month.2021-11,integer,88,25.21,41.9,88,25.21,41.9,210,349,88
employee_count_by_month.2021-12,integer,88,25.21,41.9,88,25.21,41.9,210,349,88
employee_count_by_month.2022-01,integer,88,25.21,41.9,88,25.21,41.9,210,349,88
employee_count_by_month.2022-02,integer,89,25.5,42.38,89,25.5,42.38,210,349,89
employee_count_by_month.2022-03,integer,89,25.5,42.38,89,25.5,42.38,210,349,89
employee_count_by_month.2022-04,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2022-05,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2022-06,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2022-07,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2022-08,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2022-09,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2022-10,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2022-11,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2022-12,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-01,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-02,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-03,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-04,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-05,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-06,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-07,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-08,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-09,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-10,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-11,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2023-12,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2024-01,integer,90,25.79,42.86,90,25.79,42.86,210,349,90
employee_count_by_month.2024-02,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-03,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-04,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-05,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-06,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-07,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-08,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-09,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-10,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-11,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2024-12,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-01,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-02,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-03,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-04,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-05,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-06,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-07,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-08,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-09,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-10,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-11,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2025-12,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2026-01,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2026-02,integer,91,26.07,43.33,91,26.07,43.33,210,349,91
employee_count_by_month.2026-03,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role,object,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.advisory,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.analyst,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.creative,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.education,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.engineering,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.finance,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.fulfillment,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.health,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.hospitality,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.human_resources,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.legal,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.manufacturing,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.marketing,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.operations,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.other_uncategorized,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.partnerships,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.product,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.professional_service,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.public_service,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.research,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.sales,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.sales_engineering,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.support,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_role.trade,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role,object,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.academic,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.account_executive,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.account_management,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.accounting,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.accounting_services,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.administrative,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.advisor,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.agriculture,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.aides,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.architecture,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.artist,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.board_member,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.bookkeeping,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.brand,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.building_and_grounds,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.business_analyst,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.business_development,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.chemical,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.compliance,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.construction,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.consulting,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.content,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.corporate_development,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.curation,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.customer_success,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.customer_support,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.data_analyst,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.data_engineering,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.data_science,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.dental,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.devops,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.doctor,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.electric,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.electrical,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_sub_role.emergency_services,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
